Id;item;nombre;Cantidad
1;ACF16K04SB;ARGENT WILLOW 4 PIECE FORGED STEAK KNIFE;1
2;AFF75M05AR;WILLOW 18/10 5 PIECE SET;1
3;AFF85S05QJ;OLIVIA MIRROR HAMMERED 18/10 FORGED 5PC SET;1
4;HMB02P01MB;TOMODACHI 1 PIECE MEDIUM NON-SLIP POLY BOARD;1
5;HMB02P01SB;TOMODACHI 1 PIECE SMALL NON-SLIP POLY BOARD;1
6;HMB02W02BB;TOMODACHI 2 PIECE BAMBOO CUTTING BOARD SET;1
7;HMC01A033F;Continental 4Pc Steak Set in Envelope;1
8;HMC01A052C;"KOBE 8"" CHEF KNIFE / CLAMPACK";1
9;HMC01A067A;MARBURG SHEARS IN ENVELOPE;1
10;HMC01A077S;ARGENTUM RED 4PC STEAK SET IN ENVELOPE;1
11;HMC01A095A;CLARIDGE 4PC STEAK SET IN ENVELOPE;1
12;HMC01A192D;KNIGHT 4PC STEAK SET IN ENVELOPE;1
13;HMC01A192F;KNIGHT 3PC CUTLERY SET IN ENVELOPE ENG/FR;1
14;HMC01A220D;KENAI 3PC SANTOKU SET IN GIFT BOX;1
15;HMC01A266A;ARISTON 2PC CARVING SET IN WOOD BOX;1
16;HMC01A271I;ARGENTUM BLACK SOFT GRIP 4PC STEAK IN ENVELOPE;1
17;HMC01A288A;GALACTIC 2PC PREP SET IN WOODEN BOX;1
18;HMC01A455G;"KOBE 8"" CHEF WITH CLEAR BLADE GUARD";1
19;HMC01A456G;"KOBE 3.5"" PARER WITH CLEAR BLADE GUARD";1
20;HMC01A457G;"KOBE 5.5"" SANTOKU WITH CLEAR BLADE GUARD";1
21;HMC01A458G;"KOBE 8"" BREAD KNIFE IN CLEAR BLADE GUARD";1
22;HMC01A463U;"KOBE 5"" SERRATED UTILITY";1
23;HMC01A508A;CURVATURE 4PC STEAK SET;1
24;HMC01A508B;CURVATURE 4PC CHEESE SET;1
25;HMC01A508C;CURVATURE 3PC CUTLERY SET;1
26;HMC01A582R;ESSEN 12PC CUTLERY SET;1
27;HMC01A630E;LUMINOUS 3PC CUTLERY SET ENVELOPE;1
28;HMC01B444A;NORWOOD 13PC BLOCK SET;1
29;HMC01C100CS;"Dura-Ceramica 6"" Chef (Red) w/BG";1
30;HMC01C100TS;"Dura-Ceramica 5"" (Green) Santoku w/BG";1
31;HMC01C100US;"Dura-Ceramica 5"" Utility (Orange) w/BG";1
32;SCS286B06D;SKANDIA ICELAND 6 PIECE BLOCK SET;1
33;SFB86F05SN;TIDAL FROSTED (FORGED) 18/0 5PC SET;1
34;SFC27520SK;BIRCH 20PC SET;1
35;SFF30M20SB;MIRABELLA 18/0 20PC SET;1
36;SFQ35705SK;OPERA BLACK TITANIUM 5PC 18/0;1
