Id;item;nombre;nombre 1;Cantidad
1;ACF16K04SB;ARGENT WILLOW 4 PIECE FORGED STEAK KNIFE;Argent Willow 4 Piece Forged Steak Knife;1
2;AFF75M05AR;WILLOW 18/10 5 PIECE SET;Willow 18/10 5 Piece Set;1
3;AFF85S05QJ;OLIVIA MIRROR HAMMERED 18/10 FORGED 5PC SET;Olivia Mirror Hammered 18/10 Forged 5Pc Set;1
4;HMB02P01MB;TOMODACHI 1 PIECE MEDIUM NON-SLIP POLY BOARD;Tomodachi 1 Piece Medium Non-Slip Poly Board;1
5;HMB02P01SB;TOMODACHI 1 PIECE SMALL NON-SLIP POLY BOARD;Tomodachi 1 Piece Small Non-Slip Poly Board;1
6;HMB02W02BB;TOMODACHI 2 PIECE BAMBOO CUTTING BOARD SET;Tomodachi 2 Piece Bamboo Cutting Board Set;1
7;HMC01A033F;Continental 4Pc Steak Set in Envelope;Continental 4Pc Steak Set In Envelope;1
8;HMC01A052C;"KOBE 8"" CHEF KNIFE / CLAMPACK";"Kobe 8"" Chef Knife / Clampack";1
9;HMC01A067A;MARBURG SHEARS IN ENVELOPE;Marburg Shears In Envelope;1
10;HMC01A077S;ARGENTUM RED 4PC STEAK SET IN ENVELOPE;Argentum Red 4Pc Steak Set In Envelope;1
11;HMC01A095A;CLARIDGE 4PC STEAK SET IN ENVELOPE;Claridge 4Pc Steak Set In Envelope;1
12;HMC01A192D;KNIGHT 4PC STEAK SET IN ENVELOPE;Knight 4Pc Steak Set In Envelope;1
13;HMC01A192F;KNIGHT 3PC CUTLERY SET IN ENVELOPE ENG/FR;Knight 3Pc Cutlery Set In Envelope Eng/Fr;1
14;HMC01A220D;KENAI 3PC SANTOKU SET IN GIFT BOX;Kenai 3Pc Santoku Set In Gift Box;1
15;HMC01A266A;ARISTON 2PC CARVING SET IN WOOD BOX;Ariston 2Pc Carving Set In Wood Box;1
16;HMC01A271I;ARGENTUM BLACK SOFT GRIP 4PC STEAK IN ENVELOPE;Argentum Black Soft Grip 4Pc Steak In Envelope;1
17;HMC01A288A;GALACTIC 2PC PREP SET IN WOODEN BOX;Galactic 2Pc Prep Set In Wooden Box;1
18;HMC01A455G;"KOBE 8"" CHEF WITH CLEAR BLADE GUARD";"Kobe 8"" Chef With Clear Blade Guard";1
19;HMC01A456G;"KOBE 3.5"" PARER WITH CLEAR BLADE GUARD";"Kobe 3.5"" Parer With Clear Blade Guard";1
20;HMC01A457G;"KOBE 5.5"" SANTOKU WITH CLEAR BLADE GUARD";"Kobe 5.5"" Santoku With Clear Blade Guard";1
21;HMC01A458G;"KOBE 8"" BREAD KNIFE IN CLEAR BLADE GUARD";"Kobe 8"" Bread Knife In Clear Blade Guard";1
22;HMC01A463U;"KOBE 5"" SERRATED UTILITY";"Kobe 5"" Serrated Utility";1
23;HMC01A508A;CURVATURE 4PC STEAK SET;Curvature 4Pc Steak Set;1
24;HMC01A508B;CURVATURE 4PC CHEESE SET;Curvature 4Pc Cheese Set;1
25;HMC01A508C;CURVATURE 3PC CUTLERY SET;Curvature 3Pc Cutlery Set;1
26;HMC01A582R;ESSEN 12PC CUTLERY SET;Essen 12Pc Cutlery Set;1
27;HMC01A630E;LUMINOUS 3PC CUTLERY SET ENVELOPE;Luminous 3Pc Cutlery Set Envelope;1
28;HMC01B444A;NORWOOD 13PC BLOCK SET;Norwood 13Pc Block Set;1
29;HMC01C100CS;"Dura-Ceramica 6"" Chef (Red) w/BG";"Dura-Ceramica 6"" Chef (Red) W/Bg";1
30;HMC01C100TS;"Dura-Ceramica 5"" (Green) Santoku w/BG";"Dura-Ceramica 5"" (Green) Santoku W/Bg";1
31;HMC01C100US;"Dura-Ceramica 5"" Utility (Orange) w/BG";"Dura-Ceramica 5"" Utility (Orange) W/Bg";1
32;SCS286B06D;SKANDIA ICELAND 6 PIECE BLOCK SET;Skandia Iceland 6 Piece Block Set;1
33;SFB86F05SN;TIDAL FROSTED (FORGED) 18/0 5PC SET;Tidal Frosted (Forged) 18/0 5Pc Set;1
34;SFC27520SK;BIRCH 20PC SET;Birch 20Pc Set;1
35;SFF30M20SB;MIRABELLA 18/0 20PC SET;Mirabella 18/0 20Pc Set;1
36;SFQ35705SK;OPERA BLACK TITANIUM 5PC 18/0;Opera Black Titanium 5Pc 18/0;1
