Código de producto;Nombre del producto;Categoría;Subcategoría;CATEGOR;Inventario inicial;Descripción corta del producto;Descripción larga (Lo más detallada posible);Fabricante (Opcional)
012502660521        ;IMPRESORA BROTHER DCP-T420W - WiFi - MFC;Impresoras;Sistema Contínuo;Impresoras,Sistema Contínuo;1;IMPRESORA BROTHER DCP-T420W - WiFi - MFC;"Multifuncional de inyección de tinta a color DCP-T420W InkBenefit Tank con conectividad inalámbrica.

FUNCIONES: Imprime - Copia - Escanea - WIFI
RESOLUCION: Hasta 6.000 x 1.200 dpi.
VELOCIDAD IMPRESION: Hasta 28 ppm en negro y 11 ppm a color.
RENDIMIENTO: Hasta 7.500 páginas en negro y 5.000 páginas a color.
CONECTIVIDAD: WiFi / USB / WIRELESS DIRECT / Brother iPrint&Scan.
TINTAS: BTD60BK / BT5001C / BT5001M / BT5001Y
INCLUYE: Cable USB,
GARANTIA: 2 AÑOS.";Brother
012502660538        ;IMPRESORA BROTHER DCP-T520W - WiFi - MFC;Impresoras;Sistema Contínuo;Impresoras,Sistema Contínuo;1;IMPRESORA BROTHER DCP-T520W - WiFi - MFC;"Multifuncional de inyección de tinta a color DCP-T520W InkBenefit Tank con conectividad inalámbrica.

FUNCIONES: Imprime - Copia - Escanea - WIFI
RESOLUCION: Hasta 6.000 x 1.200 dpi.
VELOCIDAD IMPRESION: Hasta 30 ppm en negro y 12 ppm a color.
RENDIMIENTO: Hasta 15.000 páginas en negro y 5.000 páginas a color.
CONECTIVIDAD: WiFi / USB / WIRELESS DIRECT / Brother iPrint&Scan.
TINTAS: BTD60BK / BT5001C / BT5001M / BT5001Y
INCLUYE: Cable USB,
GARANTIA: 2 AÑOS.";Brother
013803330434        ;IMPRESORA CANON G2160 - USB - MFP -  LCD;Impresoras;Sistema Contínuo;Impresoras,Sistema Contínuo;1;IMPRESORA CANON G2160 - USB - MFP -  LCD;"FUNCIONES: Imprime - Copia - Escanea
RESOLUCION: Hasta 4800 x 1200 dpi.
VELOCIDAD IMPRESION: Hasta 33 ppm en negro y 16 ppm a color.
RENDIMIENTO: Hasta 7,600 páginas en negro y 7,700 páginas a color.
CONECTIVIDAD: USB.
VISOR: Pantalla LCD de 2 líneas.
TINTAS: GL11BK - GL11C - GL11M - GL11Y
GARANTIA: 3 AÑOS";Canon
013803292510        ;IMPRESORA CANON G3110 - WiFi - MFP;Impresoras;Sistema Contínuo;Impresoras,Sistema Contínuo;1;IMPRESORA CANON G3110 - WiFi - MFP;"FUNCIONES: Imprime - Copia - Escanea - WiFi
RESOLUCION: Hasta 4800 x 1200 dpi.
VELOCIDAD IMPRESION: Hasta 8.8 ppm en negro y 5 ppm a color.
RENDIMIENTO: Hasta 6,000 páginas en negro y 7,000 páginas a color.
CONECTIVIDAD: WiFi / USB / Canon PRINT Inkjet / Google Cloud Print
VISOR: Pantalla LCD de 3.05 cm.
TINTAS: GI190BK - GI190C - GI190M - GI190Y
GARANTIA: 3 AÑOS";Canon
013803317848        ;IMPRESORA CANON G6010 - DUPLEX - WiFi - ETHERNET - MFC;Impresoras;Sistema Contínuo;Impresoras,Sistema Contínuo;1;IMPRESORA CANON G6010 - DUPLEX - WiFi - ETHERNET - MFC;"FUNCIONES: Imprime - Copia - Escanea - WiFi - Duplex
RESOLUCION: Hasta 4800 x 1200 dpi.
VELOCIDAD IMPRESION: Hasta 13 ppm en negro y 6.8 ppm a color.
RENDIMIENTO: Hasta 8,300 páginas en negro y 7,700 páginas a color.
CONECTIVIDAD: WiFi / USB / Ethernet / Wireless Direct
VISOR: Pantalla LCD.
TINTAS: GI10PGBK - GI10C - GI10M - GI10Y
GARANTIA: 3 AÑOS";Canon
13803333183;IMPRESORA CANON GX6010 - DUPLEX - WiFi - ETHERNET - LCD2.7;Impresoras;Sistema Contínuo;Impresoras,Sistema Contínuo;1;IMPRESORA CANON GX6010 - DUPLEX - WiFi - ETHERNET - LCD2.7;"FUNCIONES: Imprime - Copia - Escanea - Duplex - ADF - WiFi
RESOLUCION: Hasta 600 x 1200 dpi.
VELOCIDAD IMPRESION: Hasta 45 ppm en negro y 25 ppm a color.
RENDIMIENTO: Hasta 9,000 páginas en negro y 21,000 páginas a color.
CONECTIVIDAD: WiFi / USB / Ethernet / Wireless Direct
VISOR: Pantalla Táctil LCD en color de 2.7”
TINTAS: GI16 - GI16 - GI16 - GI16
GARANTIA: 3 AÑOS";Canon
010343958067        ;IMPRESORA EPSON L3210 - ECOTANK;Impresoras;Sistema Contínuo;Impresoras,Sistema Contínuo;1;IMPRESORA EPSON L3210 - ECOTANK;"FUNCIONES: Imprime - Copia - Escanea
TECNOLOGIA DE IMPRESION: MicroPiezo® de 4 colores (CMYK)
RESOLUCION: Hasta 5760 dpi x 1440 dpi.
VELOCIDAD IMPRESION: Hasta 33 ppm en negro y 15 ppm a color.
RENDIMIENTO: Hasta 4,500 páginas en negro y 7,500 páginas a color.
CONECTIVIDAD: WiFi / USB / Ethernet / Wireless Direct
VISOR: N/A
TINTAS: T544120 - T544220 - T544320 - T544420
INCLUYE: Cable USB.
GARANTIA: 2 AÑOS";Epson
010343958098        ;IMPRESORA EPSON L3250 - WiFi - MFC - ECOTANK;Impresoras;Sistema Contínuo;Impresoras,Sistema Contínuo;1;IMPRESORA EPSON L3250 - WiFi - MFC - ECOTANK;"FUNCIONES: Imprime - Copia - Escanea - WiFi
TECNOLOGIA DE IMPRESION: MicroPiezo® de 4 colores (CMYK)
RESOLUCION: Hasta 5760 dpi x 1440 dpi.
VELOCIDAD IMPRESION: Hasta 33 ppm en negro y 15 ppm a color.
RENDIMIENTO: Hasta 4,500 páginas en negro y 7,500 páginas a color.
CONECTIVIDAD: WiFi / USB / WiFi Direct
VISOR: N/A
TINTAS: T544120 - T544220 - T544320 - T544420
INCLUYE: Cable USB.
GARANTIA: 2 AÑOS";Epson
010343957961        ;IMPRESORA EPSON L4260 - DUPLEX - WIFI  - ECOTANK;Impresoras;Sistema Contínuo;Impresoras,Sistema Contínuo;1;IMPRESORA EPSON L4260 - DUPLEX - WIFI  - ECOTANK;"FUNCIONES: Imprime - Copia - Escanea - Duplex - WiFi
TECNOLOGIA DE IMPRESION: MicroPiezo® de 4 colores (CMYK)
RESOLUCION: Hasta 5760 dpi x 1440 dpi.
VELOCIDAD IMPRESION: Hasta 33 ppm en negro y 15 ppm a color.
RENDIMIENTO: Hasta 7,500 páginas en negro y 6,000 páginas a color.
CONECTIVIDAD: WiFi / USB / WiFi Direct
VISOR: Sí
TINTAS: T504120 - T504220 - T504320 - T504420
INCLUYE: Cable USB.
GARANTIA: 2 AÑOS";Epson
ARTEC0005474        ;IMPRESORA EPSON L850 - 6 COLORES - CD/DVD - ECOTANK - 1900 FOTOS;Impresoras;Sistema Contínuo;Impresoras,Sistema Contínuo;1;IMPRESORA EPSON L850 - 6 COLORES - CD/DVD - ECOTANK - 1900 FOTOS;"FUNCIONES: Imprime - Copia - Escanea - Foto - CD/DVD
TECNOLOGIA DE IMPRESION: MicroPiezo® de 6 colores (CcMmYK)
RESOLUCION: Hasta 5760 dpi x 1440 dpi.
VELOCIDAD IMPRESION: Hasta 37 ppm en negro y 38 ppm a color.
RENDIMIENTO: Hasta 1900 fotos de 10x15cm.
CONECTIVIDAD: USB
VISOR: Pantalla LCD a color de 2,7""
RANURAS DE TARJETAS: SDTM (SDHC, SDXC), Memory Stick
TINTAS: T673120 - T673220 - T673320 - T673420 - T673520 - T673620
INCLUYE: Cable USB.
GARANTIA: 2 AÑOS";Epson
