id;Código de producto;imagen;imagen2;imagen3
1;ACC801;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/ACC801.jpg
2;ACC901-450;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/ACC901-450.jpg
3;acc638;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/acc638.jpg
4;AUD-USBIPH;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-USBIPH.jpg
5;aud750;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/aud750.jpg
6;AUD-XR6;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-XR6.jpg
7;HD-AUD-S8;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/HD-AUD-S8.jpg
8;MIC02B;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MIC02B.jpg
9;MIC04SP;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MIC04SP.jpg
10;AUD-04SU;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-04SU.jpg
11;MIC-M200C;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MIC-M200C.jpg
12;AUD-M228;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-M228.jpg
13;MIC505;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/MIC505.jpg
14;ADAJBLJUM-BLACK;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/ADAJBLJUM-BLACK.jpg
15;ADAJBLJUM-B/Y;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/ADAJBLJUM-B/Y.jpg
16;ADAJBLJUMP-RED;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/ADAJBLJUMP-RED.jpg
17;AUD-HG8936;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-HG8936.jpg
18;AUD-440;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-440.jpg
19;AUD-RAZER1245;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-RAZER1245.jpg
20;AUD-RAZER1173;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-RAZER1173.jpg
21;AUD-RAZER1230;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-RAZER1230.jpg
22;AUD-RAZER1309;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-RAZER1309.jpg
23;AUD-RAZER1229;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-RAZER1229.jpg
24;AUD-REDRAGONH350RGB-;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-REDRAGONH350RGB-.jpg
25;AUD-REDRAGONH350W-RG;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-REDRAGONH350W-RG.jpg
26;AUDH901;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUDH901.jpg
27;AUD-REDRAGONH510-1;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-REDRAGONH510-1.jpg
28;AUD-AE-218S;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-AE-218S.jpg
29;HD-SN900;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/HD-SN900.jpg
30;HD-G10;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/HD-G10.jpg
31;AUD-XT-HS108;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-XT-HS108.jpg
32;AUD-I12;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-I12.jpg
33;AUD-XG6;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD-XG6.jpg
34;AUD400B;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD400B.jpg
35;AUD400R;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUD400R.jpg
36;AUDC200;https://dev.velox.ec/saatec/upload/fotos/;.jpg;https://dev.velox.ec/saatec/upload/fotos/AUDC200.jpg
