Referencia;Variante;Valor variante;Referencia variante;Cantidad variante;Precio variante
polo-adams-marino-s22pl0708-001;TALLA:Color:0;XS:0;polo-adams-marino-s22pl0708-001_variante_1;1;40,13392857
polo-adams-marino-s22pl0708-001;TALLA:Color:0;S:0;polo-adams-marino-s22pl0708-001_variante_2;2;40,13392857
polo-adams-marino-s22pl0708-001;TALLA:Color:0;M:0;polo-adams-marino-s22pl0708-001_variante_3;3;40,13392857
polo-adams-marino-s22pl0708-001;TALLA:Color:0;L:0;polo-adams-marino-s22pl0708-001_variante_4;2;40,13392857
polo-adams-marino-s22pl0708-001;TALLA:Color:0;XL:0;polo-adams-marino-s22pl0708-001_variante_5;1;40,13392857
polo-adams-tinto-s22pl0708-001;TALLA:Color:0;S:0;polo-adams-tinto-s22pl0708-001_variante_1;2;40,13392857
polo-adams-tinto-s22pl0708-001;TALLA:Color:0;M:0;polo-adams-tinto-s22pl0708-001_variante_2;3;40,13392857
polo-adams-tinto-s22pl0708-001;TALLA:Color:0;L:0;polo-adams-tinto-s22pl0708-001_variante_3;2;40,13392857
polo-adams-tinto-s22pl0708-001;TALLA:Color:0;XL:0;polo-adams-tinto-s22pl0708-001_variante_4;1;40,13392857
polo-kodak-marino-1;TALLA:Color:0;XS:0;polo-kodak-marino-1_variante_1;1;32,99107143
polo-kodak-marino-1;TALLA:Color:0;S:0;polo-kodak-marino-1_variante_2;3;32,99107143
polo-kodak-marino-1;TALLA:Color:0;M:0;polo-kodak-marino-1_variante_3;5;32,99107143
polo-kodak-marino-1;TALLA:Color:0;L:0;polo-kodak-marino-1_variante_4;2;32,99107143
polo-kodak-marino-1;TALLA:Color:0;XL:0;polo-kodak-marino-1_variante_5;2;32,99107143
polo-russel-caza-1;TALLA:Color:0;XS:0;polo-russel-caza-1_variante_1;2;40,13392857
polo-russel-caza-1;TALLA:Color:0;S:0;polo-russel-caza-1_variante_2;3;40,13392857
polo-russel-caza-1;TALLA:Color:0;M:0;polo-russel-caza-1_variante_3;5;40,13392857
polo-russel-caza-1;TALLA:Color:0;L:0;polo-russel-caza-1_variante_4;3;40,13392857
polo-russel-caza-1;TALLA:Color:0;XL:0;polo-russel-caza-1_variante_5;1;40,13392857
polo-russel-marino-1;TALLA:Color:0;S:0;polo-russel-marino-1_variante_1;1;40,13392857
polo-russel-marino-1;TALLA:Color:0;M:0;polo-russel-marino-1_variante_2;3;40,13392857
polo-russel-marino-1;TALLA:Color:0;L:0;polo-russel-marino-1_variante_3;2;40,13392857
polo-russel-marino-1;TALLA:Color:0;XL:0;polo-russel-marino-1_variante_4;1;40,13392857
polo-russel-blanco-1;TALLA:Color:0;S:0;polo-russel-blanco-1_variante_1;3;40,13392857
polo-russel-blanco-1;TALLA:Color:0;M:0;polo-russel-blanco-1_variante_2;5;40,13392857
polo-russel-blanco-1;TALLA:Color:0;L:0;polo-russel-blanco-1_variante_3;2;40,13392857
