id;Nombre del producto;Categoría;Subcategoría;Categorias;Precio incluido IVA de la variante;Código de producto;Descripción corta del producto;Descripción larga (Lo más detallada posible);Fabricante (Opcional)
1;Polo Adams Marino;Hombre;Polos;Hombre,Polos;44.95;polo-adams-marino-s22pl0708-001;Polo azul marino con bordado;Polo con banda blanca frontal en diagonal elaborado en tejido 100% algodón. Con un cuello clásico y cierre con tres botones, las manga cortas terminadas en puño clasico . Bajo con aberturas laterales. Logo de La Garrocha bordado en el frontal  junto a su escudo conmemorativo en el pecho.;La Garrocha
2;Polo Adams Tinto;Hombre;Polos;Hombre,Polos;44.95;polo-adams-tinto-s22pl0708-001;Polo vino tinto con bordado;Polo con banda blanca frontal en diagonal elaborado en tejido 100% algodón. Con un cuello clásico y cierre con tres botones, las manga cortas terminadas en puño clasico . Bajo con aberturas laterales. Logo de La Garrocha bordado en el frontal  junto a su escudo conmemorativo en el pecho.;La Garrocha
3;Polo Kodak Marino;Hombre;Polos;Hombre,Polos;36.95;polo-kodak-marino-1;Polo azul marino;Polo clásico liso 100% algodón. Cuenta con un cuello forrado en tejido de camisa de raya kodak, rematado al interior con media luna forrada en tejido de oxford. Cierre con tapeta de tres botones. Bajo con aberturas laterales forradas. Bordado con el logo de La Garrocha en la espalda y su icónico caballo en el pecho.;La Garrocha
4;Polo Russel Caza;Hombre;Polos;Hombre,Polos;44.95;polo-russel-caza-1;Polo verde caza con bordado;Polo 100% algodón. Cuenta con un cuello con cierre mediante tapeta de oxford celeste de tres botones, manga corta terminada en puño al contraste. Banda frontal con emblema conmemorativo con fustas bordado. El icónico caballo de La Garrocha bordado en el pecho. Bajo con aberturas laterales.;La Garrocha
5;Polo Russel Marino;Hombre;Polos;Hombre,Polos;44.95;polo-russel-marino-1;Polo azul marino con bordado;Polo 100% algodón. Cuenta con un cuello con cierre mediante tapeta de oxford celeste de tres botones, manga corta terminada en puño al contraste. Banda frontal con emblema conmemorativo con fustas bordado. El icónico caballo de La Garrocha bordado en el pecho. Bajo con aberturas laterales.;La Garrocha
6;Polo Russel Crudo;Hombre;Polos;Hombre,Polos;44.95;polo-russel-blanco-1;Polo blanco crudo con bordado;Polo 100% algodón. Cuenta con un cuello con cierre mediante tapeta de oxford celeste de tres botones, manga corta terminada en puño al contraste. Banda frontal con emblema conmemorativo con fustas bordado. El icónico caballo de La Garrocha bordado en el pecho. Bajo con aberturas laterales.;La Garrocha
7;Polo Brand Blanco;Hombre;Polos;Hombre,Polos;36.95;polo-brand-blanco-1;Polo liso blanco;Polo liso confeccionado en tejido 100% algodón con cuello al contraste. Cuello clásico rematado al interior con media luna forrada en tejido de camisa de raya kodak. Cierre mediante tapeta al contraste y manga corta terminada en puño. Bajo con aberturas laterales. Logo con el caballo de La Garrocha caballo bordado en el pecho;La Garrocha
8;Polo Band Sangre;Hombre;Polos;Hombre,Polos;36.95;polo-brand-sangre-1;Polo liso rojo sangre;Polo liso confeccionado en tejido 100% algodón con cuello al contraste. Cuello clásico rematado al interior con media luna forrada en tejido de camisa de raya kodak. Cierre mediante tapeta al contraste y manga corta terminada en puño. Bajo con aberturas laterales. Logo con el caballo de La Garrocha caballo bordado en el pecho;La Garrocha
9;Polo Turner Marino;Hombre;Polos;Hombre,Polos;44.95;polo-turner-marino-1;Polo azul marino con contraste;Polo en tejido 100% algodón. Cuello clásico, cierre mediante tapeta oculta con botonera forrada, manga corta terminada en puño al contraste. Bajo con aberturas laterales. Franja en contraste y detalle conmemorativo en la espalda de La Garrocha - Hípica Club. Logo frontal del caballo de La Garrocha bordado en el pecho.;La Garrocha
10;Polo Turner Caza;Hombre;Polos;Hombre,Polos;44.95;polo-turner-caza-1;Polo verde caza con contraste;Polo en tejido 100% algodón. Cuello clásico, cierre mediante tapeta oculta con botonera forrada, manga corta terminada en puño al contraste. Bajo con aberturas laterales. Franja en contraste y detalle conmemorativo en la espalda de La Garrocha - Hípica Club. Logo frontal del caballo de La Garrocha bordado en el pecho.;La Garrocha
11;Camiseta Banderin Marino;Hombre;Camisetas;Hombre,Camisetas;24.95;camiseta-banderin-marino-1;Camiseta azul con banderin y fustas;Camiseta en tejido 100% algodón. Con cuello redondo, manga corta y print con el caballo de La Garrocha y fustas en la parte delantera y banderín en la manga derecha. Etiqueta con la marca tejida en el bajo.;La Garrocha
12;Camiseta Banderin Ciruela;Hombre;Camisetas;Hombre,Camisetas;24.95;camiseta-banderin-granada-1;Camiseta granada con banderin y fustas;Camiseta en tejido 100% algodón. Con cuello redondo, manga corta y print con el caballo de La Garrocha y fustas en la parte delantera y banderín en la manga derecha. Etiqueta con la marca tejida en el bajo.;La Garrocha
