Nombre del producto;Categoría;Subcategoría;Categorias;Precio incluido IVA de la variante;Código de producto;Descripción corta del producto;Descripción larga (Lo más detallada posible);Fabricante (Opcional);impuesto
Polo con Ribete;Mujer;Polos;Mujer,Polos;0;polo-celeste-rib-pdt;Camiseta polo celeste;Polo clásico de mujer en color azul celeste con ribete en el cuello y logo de Piel de Toro con contraste en pecho izquierdo.;Piel de Toro;53
Polo España con Contraste;Mujer;Polos;Mujer,Polos;0;polo-es-con-pdt;Polo España blanco con contraste;Polo básico en color blanco con ribete en el cuello y tic en las mangas con la bandera de España. Logo de Piel de Toro bordado en pecho izquierdo.;Piel de Toro;53
Polo Contraste dos colores;Mujer;Polos;Mujer,Polos;0;polo-contraste-pdt;Polo bordado con manga en contraste;Polo bordado color blanco con manga en contraste celeste.;Piel de Toro;53
Polo Aroma de España Rojo;Mujer;Polos;Mujer,Polos;0;polo-bordado-espana-rojo-pdt;Polo bordado Aroma de España rojo;Polo bordado Aroma de España slim fit color rojo. Con contrastes de color, bordado delantero y bandera de España en el interior del cuello.;Piel de Toro;53
Polo Blanco Bordado Capote;Mujer;Polos;Mujer,Polos;0;polo-capote-blanco-pdt;Polo Capote blanca slim fit ;Polo slim fit en color blanco. Con bordados en parte delantera de Aroma de España. Contraste de color azul marino en mangas y en los colores de un capote en los puños.;Piel de Toro;53
Polo Bordado Capote ;Mujer;Polos;Mujer,Polos;0;polo-capote-pdt;Polo Capote slim fit ;Polo slim fit inspirada en los colores de un capote. Con bordados en parte delantera de Aroma de España. Contraste de color azul marino en mangas y en los colores de un capote en los puños.;Piel de Toro;53
Polo Goyesca Blanco;Mujer;Polos;Mujer,Polos;0;polo-bordada-blanco-pdt;Polo Bordado en blanco slim fit;Polo slim fit en color blanco. Con bordado y serigrafía de Piel de Toro en pecho izquierdo. Tips en contraste de color en cuello y en tapeta.;Piel de Toro;53
Polo Goyesca Rosa;Mujer;Polos;Mujer,Polos;0;polo-bordado-rosa-pdt;Polo Bordado en rosa slim fit;Polo slim fit en color rosa. Con bordado y serigrafía de Piel de Toro en pecho izquierdo. Tips en contraste de color en cuello y en tapeta.;Piel de Toro;53
Polo Cruzada Azul Marino;Mujer;Polos;Mujer,Polos;0;polo-cr-am-pdt;Polo con franja cruzada;Polo slim fit en color azul marino. Con bordados delanteros clásicos de Piel de Toro y franja diagonal en color rojo y blanco. Contraste de color en mangas con cintas al tono de los bordados.;Piel de Toro;53
Polo Arte y Tradición ;Mujer;Polos;Mujer,Polos;0;polo-artytr-pdt;Polo con parche trasero;Polo slim fit en color azul marino y capote. Con bordado en parte delantera y parche Arte y Tradición en la espalada. Contraste en colores taurinos en las mangas.;Piel de Toro;53
Camisa Oxford Verde Agua;Mujer;Camisas - Blusas;Mujer,Camisas - Blusas;0;camisa-va-pdt;Camisa slim verde agua;Camisa de corte slim fit en color verde agua. Con logo bordado en dorado en pecho izquierdo. Detalle emblemático de Piel de Toro en el puño.;Piel de Toro;53
Camisa Oxford Rosa;Mujer;Camisas - Blusas;Mujer,Camisas - Blusas;0;camisa-rosa-pdt;Camisa slim rosa;Camisa de corte slim fit en color rosa. Con logo bordado en dorado en pecho izquierdo. Detalle emblemático de Piel de Toro en el puño.;Piel de Toro;53
Camisa Oxford Denim;Mujer;Camisas - Blusas;Mujer,Camisas - Blusas;0;camisa-denim-pdt;Camisa slim denim;Camisa de corte slim fit en color denim (color jean). Con logo bordado en dorado en pecho izquierdo. Detalle emblemático de Piel de Toro en el puño.;Piel de Toro;53
Camisa Blanca con Escudo PDT;Mujer;Camisas - Blusas;Mujer,Camisas - Blusas;0;camisa-blanca-esc-pdt;Camisa blanca slim con bordado;Camisa de corte slim fit en color blanco. Con logo de Piel de Toro bordado en pecho izquierdo. Detalle emblemático de la marca en el puño en contraste con azul marino.;Piel de Toro;53
Camisa Celeste con Escudo PDT;Mujer;Camisas - Blusas;Mujer,Camisas - Blusas;0;camisa-celeste-esc-pdt;Camisa celeste slim con bordado;Camisa de corte slim fit en color celeste. Con logo de Piel de Toro bordado en pecho izquierdo. Detalle emblemático de la marca en el puño en contraste con azul marino.;Piel de Toro;53
