Nombre del producto;Categoría;Subcategoría;CATE;Precio incluido IVA de la variante;Código de producto;Descripción corta del producto;Descripción larga (Lo más detallada posible);Fabricante (Opcional)
PANTALON ROSADO;ROPA;PANTALON;ROPA,PANTALON; $89,00 ;SI32.00082;PANTALON ROSADO 00082 S;PANTALON ROSADO 00082 S;Saruka Rodriguez
PANTALON PALO DE ROSA;ROPA;PANTALON;ROPA,PANTALON; $99,00 ;SI32.00083;PANTALON PALO DE ROSA 00083 S;PANTALON PALO DE ROSA 00083 S;Saruka Rodriguez
PANTALON PALO DE ROSA;ROPA;PANTALON;ROPA,PANTALON; $99,00 ;SI32.00084;PANTALON PALO DE ROSA 00084 M;PANTALON PALO DE ROSA 00084 M;Saruka Rodriguez
PANTALON ROSADO;ROPA;PANTALON;ROPA,PANTALON; $150,00 ;SI32.00087;PANTALON ROSADO 00087 S;PANTALON ROSADO 00087 S;Saruka Rodriguez
PANTALON BEIGE;ROPA;PANTALON;ROPA,PANTALON; $99,00 ;SI32.00090;PANTALON BEIGE 00090 S;PANTALON BEIGE 00090 S;Saruka Rodriguez
PANTALON BEIGE;ROPA;PANTALON;ROPA,PANTALON; $89,00 ;SI32.00088;PANTALON BEIGE 00088 S;PANTALON BEIGE 00088 S;Saruka Rodriguez
PANTALON NEGRO;ROPA;PANTALON;ROPA,PANTALON; $89,00 ;SI32.00079;PANTALON NEGRO 00079 M;PANTALON NEGRO 00079 M;Saruka Rodriguez
PANTALON NEGRO;ROPA;PANTALON;ROPA,PANTALON; $150,00 ;SI32.00075;PANTALON NEGRO 00075 S;PANTALON NEGRO 00075 S;Saruka Rodriguez
PANTALON NEGRO;ROPA;PANTALON;ROPA,PANTALON; $150,00 ;SI32.00078;PANTALON NEGRO 00078 M;PANTALON NEGRO 00078 M;Saruka Rodriguez
PANTALON NEGRO;ROPA;PANTALON;ROPA,PANTALON; $150,00 ;SI32.00081;PANTALON NEGRO 00081 L;PANTALON NEGRO 00081 L;Saruka Rodriguez
PANTALON TERRACOTA;ROPA;PANTALON;ROPA,PANTALON; $150,00 ;SI32.00098;PANTALON TERRACOTA 00098 S;PANTALON TERRACOTA 00098 S;Saruka Rodriguez
PANTALON NARANJA;ROPA;PANTALON;ROPA,PANTALON; $89,00 ;SI32.00099;PANTALON NARANJA 00099 S;PANTALON NARANJA 00099 S;Saruka Rodriguez
PANTALON AZUL CLARO;ROPA;PANTALON;ROPA,PANTALON; $89,00 ;SI32.00095;PANTALON AZUL CLARO 00095 S;PANTALON AZUL CLARO 00095 S;Saruka Rodriguez
PANTALON AZUL CLARO;ROPA;PANTALON;ROPA,PANTALON; $89,00 ;SI32.00096;PANTALON AZUL CLARO 00096 M;PANTALON AZUL CLARO 00096 M;Saruka Rodriguez
PANTALON AZUL CLARO;ROPA;PANTALON;ROPA,PANTALON; $89,00 ;SI32.00097;PANTALON AZUL CLARO 00097 L;PANTALON AZUL CLARO 00097 L;Saruka Rodriguez
PANTALON AZUL;ROPA;PANTALON;ROPA,PANTALON; $99,00 ;SI32.00101;PANTALON AZUL 00101 L;PANTALON AZUL 00101 L;Saruka Rodriguez
PANTALON AZUL;ROPA;PANTALON;ROPA,PANTALON; $99,00 ;SI32.00102;PANTALON AZUL 00102 S;PANTALON AZUL 00102 S;Saruka Rodriguez
PANTALON AZUL;ROPA;PANTALON;ROPA,PANTALON; $99,00 ;SI32.00103;PANTALON AZUL 00103 M;PANTALON AZUL 00103 M;Saruka Rodriguez
BODY FUCSIA;ROPA;BODY;ROPA,BODY; $59,00 ;SI09.00072;BODY FUCSIA 00072 MANGA LARGA M;BODY FUCSIA 00072 MANGA LARGA M;Saruka Rodriguez
