Nombre del Producto;Categoría;Subcategoría;CATe;Precio Incluido IVA;Número de artículo;En stock;Fabricante
BARRA D/SONIDO RCA/BSD 7002/10W/80CM;TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;44,2848;53HSRAL;14;RCA
BARRA D/SONIDO RCA/SR190GB-32-70;TECNOLOGÍA;TELEVISORES;TECNOLOGÍA,TELEVISORES;108,9424;53HSRAM;10;RCA
CABLE CARGADOR RCA/T11/TIPO C;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;2,4192;5RCA50A;4;RCA
CARGADOR POWER BANK/RCA/K-0358P;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;12,824;5RCA500;12;RCA
CARGADOR RCA/AC16/BLANCO;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;7,1456;5RCA506;13;RCA
CELULAR BLU G50 MEGA 2019 (116GB);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;67,5248;100380;4;BLU
CELULAR BLU G50 MEGA 2022 (32GB);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;144,6928;1003104;3;BLU
CELULAR BLU J91 1GH (32GB);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;123,3232;100379;1;BLU
CELULAR HUAWEY HUAY9 / 128GB;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;386,3552;99352521;2;HUAWEY
CELULAR NFINIX NOTE (256GB);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;323,8368;670SN256;6;INFINIX
CELULAR REALME  C3 3/64;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;229,9584;99351642;1;REALME
CELULAR REALME 6 I 64 GB;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;285,5216;99352146;2;REALME
CELULAR REALME 6 PRO;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;432,9136;99352149;4;REALME
CELULAR REDMI 9 C (32GB);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;270,088;8;2;REDMI
CELULAR SAMSUNG   M51   6RAM / 128 GB;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;554,064;99352776;1;SAMSUNG
CELULAR SAMSUNG A13 (128GB);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;317,9344;54;1;SAMSUNG
CELULAR SAMSUNG A13 64GB;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;291,6928;75;6;SAMSUNG
CELULAR SAMSUNG A22 (128GB);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;264,5776;6;4;SAMSUNG
CELULAR SAMSUNG A23 (128GB);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;323,8368;52;5;SAMSUNG
CELULAR SAMSUNG A33 (128GB);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;414,7808;43;6;SAMSUNG
CELULAR SAMSUNG A53 5G (128GB);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;463,008;53;6;SAMSUNG
CELULAR TCL CTL 5130 / 32 GB;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;184,5984;99352796;4;TCL
CELULAR TCL CTL 6125 / 64 GB;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;241,4608;99353117;2;TCL
CHIPS (VARIAS OPERADORA);TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;2,3072;40;20;OTROS PROVEEDOR
FORRO PARA CELULAR;TECNOLOGÍA;SMARTPHONE;TECNOLOGÍA,SMARTPHONE;7,7168;99352261;4;OTROS PROVEEDOR
"GB  LAPTO HP 245 G7 4GB 1TB 14""";TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;469,0784;99352252;2;HP
"HP 14DK1022WM 4GB SSD128 14"" S.O";TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;848,848;99352924;4;HP
IMPRESORA  DCPT920;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;555,6096;99353024;1;BROTHER
IMPRESORA CANON G2110 MULTIFUNCIONAL ;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;293,2384;KMBD87569;6;CANON
IMPRESORA CANON G2160 MULTIFUNCIONAL ;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;300,9552;KMBD87640;6;CANON
IMPRESORA CANON G3110 MULTIFUNCIONAL;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;339,5392;KMBD87646;3;CANON
IMPRESORA HP 2135;TECNOLOGÍA;COMPUTADORAS;TECNOLOGÍA,COMPUTADORAS;0,0112;99350657;8;HP
