Nombre del Producto;Categoría;Subcategoría;CATE;Precio Incluido IVA;Número de artículo;En stock;Marca
ALAMBRE GALVANIZADO N- 18 1KG.;CONSTRUCCIÓN;ALAMBRES;CONSTRUCCIÓN/ALAMBRES;$3,71;187968;15;OTROS PROVEEDOR
ALAMBRE GALVANIZADO N- 18 20 KG.;CONSTRUCCIÓN;ALAMBRES;CONSTRUCCIÓN/ALAMBRES;$53,26;187947;2;OTROS PROVEEDOR
BLOQUE POMEZ 15 (20X40);CONSTRUCCIÓN;BLOQUES;CONSTRUCCIÓN/BLOQUES;$0,41;91010556;110;OTROS PROVEEDOR
BLOQUE POMEZ 7 (40X20);CONSTRUCCIÓN;BLOQUES;CONSTRUCCIÓN/BLOQUES;$0,27;91010554;2,464;OTROS PROVEEDOR
BLOQUE POMEZ 9 (40X20);CONSTRUCCIÓN;BLOQUES;CONSTRUCCIÓN/BLOQUES;$0,30;91010555;9,727;OTROS PROVEEDOR
BLOQUE VICTORIA 7 (20X40);CONSTRUCCIÓN;BLOQUES;CONSTRUCCIÓN/BLOQUES;$0,33;21;178;OTROS PROVEEDOR
BLOQUE VICTORIA 9 (20X40);CONSTRUCCIÓN;BLOQUES;CONSTRUCCIÓN/BLOQUES;$0,36;20;670;OTROS PROVEEDOR
BONDEX BLENDMIX PORCE. 25KG INTACO;CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$10,67;91012013;154;INTACO
BONDEX PLUS (25KG);CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$7,80;91010982;283;INTACO
BONDEX PREMIUM (25KG);CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$13,33;91010984;805;INTACO
BONDEX STANDARD (25KG);CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$5,05;91010981;5,444;INTACO
CAJA RECTANGULAR PLASTIDOR;CONSTRUCCIÓN;ELÉCTRICO;CONSTRUCCIÓN/ELÉCTRICO;$0,56;D91010364;129;PLASTIDOR
CAJA RECTANGULAR PLASTIGAMA;CONSTRUCCIÓN;ELÉCTRICO;CONSTRUCCIÓN/ELÉCTRICO;$0,89;91002485;32;PLASTIGAMA
CEMENTO HOLCIM FUERTE TIPO GU SACO 50 KG;CONSTRUCCIÓN;MORTEROS;CONSTRUCCIÓN/MORTEROS;$8,20;10016416;168;HOLCIM
