Referencia;Nombre;Valor;Cantidad;Activo
53HSRAL;BARRA D/SONIDO RCA/BSD 7002/10W/80CM;39,54;14;1
53HSRAM;BARRA D/SONIDO RCA/SR190GB-32-70;97,27;10;1
5RCA50A;CABLE CARGADOR RCA/T11/TIPO C;2,16;3;1
5RCA500;CARGADOR POWER BANK/RCA/K-0358P;11,45;12;1
5RCA506;CARGADOR RCA/AC16/BLANCO;6,38;13;1
100380;CELULAR BLU G50 MEGA 2019 (116GB);60,29;4;1
1003104;CELULAR BLU G50 MEGA 2022 (32GB);129,19;3;1
33;CELULAR BLU J91 1GH (32GB);;1;0
99352521;CELULAR HUAWEY HUAY9 / 128GB;344,96;2;1
670SN256;CELULAR NFINIX NOTE (256GB);289,14;6;1
99351642;CELULAR REALME  C3 3/64;205,32;1;1
99352146;CELULAR REALME 6 I 64 GB;254,93;2;1
99352149;CELULAR REALME 6 PRO;386,53;4;1
8;CELULAR REDMI 9 C (32GB);241,15;2;1
99352776;CELULAR SAMSUNG   M51   6RAM / 128 GB;494,7;1;1
54;CELULAR SAMSUNG A13 (128GB);283,87;1;1
75;CELULAR SAMSUNG A13 64GB;260,44;6;1
6;CELULAR SAMSUNG A22 (128GB);236,23;4;1
52;CELULAR SAMSUNG A23 (128GB);289,14;5;1
43;CELULAR SAMSUNG A33 (128GB);370,34;6;1
53;CELULAR SAMSUNG A53 5G (128GB);413,4;6;1
99352796;CELULAR TCL CTL 5130 / 32 GB;164,82;4;1
99353117;CELULAR TCL CTL 6125 / 64 GB;215,59;2;1
40;CHIPS (VARIAS OPERADORA);2,06;20;1
99352261;FORRO PARA CELULAR;6,89;4;1
99352252;"GB  LAPTO HP 245 G7 4GB 1TB 14""";418,82;2;1
99352924;"HP 14DK1022WM 4GB SSD128 14"" S.O";757,9;4;1
99353024;IMPRESORA  DCPT920;400,68;1;1
KMBD87569;IMPRESORA CANON G2110 MULTIFUNCIONAL;211,47;6;1
KMBD87640;IMPRESORA CANON G2160 MULTIFUNCIONAL;217,04;6;1
KMBD87646;IMPRESORA CANON G3110 MULTIFUNCIONAL;244,86;3;1
99350657;IMPRESORA HP 2135;0,01;8;1
D91020808;KIT DIRECTV PREPAGO PROMOCIONAL;40,17;1;1
99352168;LAPTO  LENOVO MOD V15-ADA;370,81;7;1
99352571;LAPTO HP  5CG05263RJ;826,8;2;1
99353029;"LAPTO HP 14"" PH SSD128 RYZEN3";689;1;1
5LAP002;LAPTOP RCA SPACE 1/15.6' JK125-TK-E156S;425,9;11;1
5LAP001;LAPTOP RCA TK E140J/14'/J4115;357;11;1
