Referencia;Nombre;STOCK;PRECIO
53HSRAL;Barra de Sonido RCA 10W;6;39,54
53HSRAM;Barra de Sonido RCA 60W;0;0
5RCA50A;CABLE CARGADOR RCA/T11/TIPO C;1;2,16
5RCA500;Power Bank RCA;10;11,45
5RCA506;CARGADOR RCA/AC16/BLANCO;9;6,38
100380;CELULAR BLU G50 MEGA 2019;4;60,29
1003104;CELULAR BLU G50 MEGA 2022;2;129,19
100379;CELULAR BLU J9L;1;110,11
99352521;CELULAR HUAWEY Y9;2;344,96
670SN256;CELULAR INFINIX NOTE 12;4;289,14
99351642;CELULAR REALME C3;1;205,32
99352146;CELULAR REALME 6i;2;254,93
99352149;CELULAR REALME 6 PRO;3;386,53
8;CELULAR REDMI 9C;2;241,15
99352776;CELULAR SAMSUNG M51;1;494,7
54;CELULAR SAMSUNG A13 (128GB);1;283,87
75;CELULAR SAMSUNG A13 (64GB);6;260,44
6;CELULAR SAMSUNG A22 (128GB);4;236,23
52;CELULAR SAMSUNG A23 (128GB);4;289,14
43;CELULAR SAMSUNG A33 (128GB);5;370,34
53;CELULAR SAMSUNG A53 5G (128GB);5;413,4
99352796;CELULAR TCL 5130J (32 GB);4;164,82
99353117;CELULAR TCL 6125F (64 GB);2;215,59
40;CHIPS (VARIAS OPERADORA);16;2,06
99352261;FORRO PARA CELULAR;4;6,89
99352252;"Laptop HP 14"" HHD 1TB";1;418,82
99352924;"Laptop HP 14"" SSD 128GB";4;757,9
99353024;Impresora Multifuncional BROTHER;1;400,68
KMBD87569;Impresora Multifuncional CANON;3;211,47
KMBD87640;Impresora Multifuncional CANON G2160;6;217,04
KMBD87646;Impresora Multifuncional CANON G3110;1;244,86
99350657;IMPRESORA HP 2135;2;0,01
D91020808;KIT DIRECTV PREPAGO;1;40,17
99352168;Laptop LENOVO V15-ADA;2;370,81
99352571;"Laptop HP 14"" HHD 1TB";1;826,8
99353029;"Laptop HP 14"" SSD 128GB";1;689
5LAP002;"Laptop RCA 15.6"" SSD 256GB";5;425,9
5LAP001;"Laptop RCA 14"" SSD 128GB";11;357
99351646;MICA PARA INSTALACION CELULAR;40;3,08
99352684;MICROFONO INALÃMBRICO (50 18/TS-013) 1PC;2;23,29
99350613;MOUSE GENIUS 3 BOTONES;2;6,89
99350577;MOUSE INALÃMBRICO GENIUS;3;13,78
53HSRBH;PARLANTE BLUETOOTH RCA BH (NEGRO);0;0
53HSRBM;Parlante Bluetooth RCA (ROJO);2;10,94
53HSRBJ;Parlante RCA Bluetooth PequeÃ±o;7;6,22
53HSRC7;Parlante RCA Azul 30000W;5;100,81
53HSRC8;Parlante RCA (Caja amplificada);16;106,61
53HSRC6;Parlante RCA Rojo 30000W;4;100,81
53HSRCG;Parlante RCA 10000W;1;81,02
53HSRCF;PARLANTE RCA 620 (USB |Â TF);3;79,96
99350571;Parlante Amplificado RCA 20000W;1;194,45
7RT0016;"Smart TV RCA HD 32""";8;210,38
7RT0017;"Smart TV RCA FHD 43""";11;323,77
7RT0018;"Smart TV RCA 4K 55""";6;491,73
7RT0019;"Smart TV RCA 4K 65""";0;0
99352517;"SMART TV TCL 85""";1;3582,8
99352678;"SMART TV XTRATECH 65""";1;835,42
99352608;"SOPORTE TV 37"" A 70""";3;9,09
99352606;"SOPORTE TV 26""A 55""";1;5,96
99352607;"SOPORTE TV 37"" - 70""";0;0
99352609;"SOPORTE TV 37""- 80""";7;14,76
7T10944;"Smart TV TCL FHD 40""";8;450,03
7T10922;"Smart TV TCL HD 32""";12;333,73
7T10926;"Smart TV TCL 4K 43""";7;513,03
7T1092 7;"Smart TV TCL 4K 50""";3;722,42
7T1093 9;"Smart TV TCL 4K 55""";1;866,2
7T1094 0;"Smart TV TCL 4K 65""";4;1180,65
7T1093 3;"Smart TV TCL 4K 75""";1;1563,37
99350656;TECLADO USB GENIUS;3;13,78
99352565;TELEFONO INALAMBRICO UNIDEN;1;107,48
99352564;TelÃ©fono Digital InalÃ¡mbrico PANASONIC;1;117,13
99353157;Tinta Amarilla EPSON;4;11,13
99353154;Tinta Azul-Cian EPSON;4;11,13
99353156;Tinta Negra EPSON;5;11,13
99353151;Tinta Roja-Magenta EPSON;4;4,45
99353158;TINTA IMPRESORA LIMPIADOR;12;11,6
99350552;"Smart TV SAMSUNG 65"" 4K";1;1180,64
99353331;WALKIE TALKIE  INTERCOMUNICADOR | OC0461232;1;5,27
