id,title,ios_url,ios_app_store_id,ios_app_name,android_url,android_package,android_app_name,windows_phone_url,windows_phone_app_id,windows_phone_app_name,description,rich_text_description,google_product_category,fb_product_category,product_type,link,image_link,additional_image_link,condition,availability,price,sale_price,sale_price_effective_date,gtin,brand,inventory,mpn,age_group,shipping,custom_label_0,item_group_id,color,size,gender,material,pattern,additional_variant_attribute
1,"BARRA D/SONIDO RCA/BSD 7002/10W/80CM",,,,,,,,,,"BARRA D/SONIDO RCA/BSD 7002/10W/80CM","BARRA D/SONIDO RCA/BSD 7002/10W/80CM",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/1-barra-d-sonido-rca-bsd-7002-10w-80cm.html,https://salvacerohomecenter.com/1/barra-d-sonido-rca-bsd-7002-10w-80cm.jpg,"https://salvacerohomecenter.com/1/barra-d-sonido-rca-bsd-7002-10w-80cm.jpg,",new,"In Stock",44.28,,,,RCA,14,,,,,,,,,,,
2,"BARRA D/SONIDO RCA/SR190GB-32-70",,,,,,,,,,"BARRA D/SONIDO RCA/SR190GB-32-70","BARRA D/SONIDO RCA/SR190GB-32-70",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/2-barra-d-sonido-rca-sr190gb-32-70.html,https://salvacerohomecenter.com/2/barra-d-sonido-rca-sr190gb-32-70.jpg,"https://salvacerohomecenter.com/2/barra-d-sonido-rca-sr190gb-32-70.jpg,",new,"In Stock",108.94,,,,RCA,10,,,,,,,,,,,
3,"CABLE CARGADOR RCA/T11/TIPO C",,,,,,,,,,"CABLE CARGADOR RCA/T11/TIPO C","CABLE CARGADOR RCA/T11/TIPO C",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/3-cable-cargador-rca-t11-tipo-c.html,https://salvacerohomecenter.com/3/cable-cargador-rca-t11-tipo-c.jpg,"https://salvacerohomecenter.com/3/cable-cargador-rca-t11-tipo-c.jpg,",new,"In Stock",2.42,,,,RCA,4,,,,,,,,,,,
4,"CARGADOR POWER BANK/RCA/K-0358P",,,,,,,,,,"CARGADOR POWER BANK/RCA/K-0358P","CARGADOR POWER BANK/RCA/K-0358P",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/4-cargador-power-bank-rca-k-0358p.html,https://salvacerohomecenter.com/4/cargador-power-bank-rca-k-0358p.jpg,"https://salvacerohomecenter.com/4/cargador-power-bank-rca-k-0358p.jpg,",new,"In Stock",12.82,,,,RCA,12,,,,,,,,,,,
5,"CARGADOR RCA/AC16/BLANCO",,,,,,,,,,"CARGADOR RCA/AC16/BLANCO","CARGADOR RCA/AC16/BLANCO",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/5-cargador-rca-ac16-blanco.html,https://salvacerohomecenter.com//cargador-rca-ac16-blanco.jpg,,new,"In Stock",7.15,,,,RCA,13,,,,,,,,,,,
6,"CELULAR BLU G50 MEGA 2019 (116GB)",,,,,,,,,,"CELULAR BLU G50 MEGA 2019 (116GB)","CELULAR BLU G50 MEGA 2019 (116GB)",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/6-celular-blu-g50-mega-2019-116gb.html,https://salvacerohomecenter.com//celular-blu-g50-mega-2019-116gb.jpg,,new,"In Stock",67.52,,,,BLU,4,,,,,,,,,,,
7,"CELULAR BLU G50 MEGA 2022 (32GB)",,,,,,,,,,"CELULAR BLU G50 MEGA 2022 (32GB)","CELULAR BLU G50 MEGA 2022 (32GB)",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/7-celular-blu-g50-mega-2022-32gb.html,https://salvacerohomecenter.com//celular-blu-g50-mega-2022-32gb.jpg,,new,"In Stock",144.69,,,,BLU,3,,,,,,,,,,,
8,"CELULAR BLU J91 1GH (32GB)",,,,,,,,,,"CELULAR BLU J91 1GH (32GB)","CELULAR BLU J91 1GH (32GB)",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/8-celular-blu-j91-1gh-32gb.html,https://salvacerohomecenter.com//celular-blu-j91-1gh-32gb.jpg,,new,"In Stock",123.32,,,,BLU,1,,,,,,,,,,,
9,"CELULAR HUAWEY HUAY9 / 128GB",,,,,,,,,,"CELULAR HUAWEY HUAY9 / 128GB","CELULAR HUAWEY HUAY9 / 128GB",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/9-celular-huawey-huay9-128gb.html,https://salvacerohomecenter.com//celular-huawey-huay9-128gb.jpg,,new,"In Stock",386.36,,,,HUAWEY,2,,,,,,,,,,,
10,"CELULAR NFINIX NOTE (256GB)",,,,,,,,,,"CELULAR NFINIX NOTE (256GB)","CELULAR NFINIX NOTE (256GB)",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/10-celular-nfinix-note-256gb.html,https://salvacerohomecenter.com//celular-nfinix-note-256gb.jpg,,new,"In Stock",323.84,,,,INFINIX,6,,,,,,,,,,,
11,"CELULAR REALME  C3 3/64",,,,,,,,,,"CELULAR REALME  C3 3/64","CELULAR REALME  C3 3/64",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/11-celular-realme-c3-3-64.html,https://salvacerohomecenter.com//celular-realme-c3-3-64.jpg,,new,"In Stock",229.96,,,,REALME,1,,,,,,,,,,,
12,"CELULAR REALME 6 I 64 GB",,,,,,,,,,"CELULAR REALME 6 I 64 GB","CELULAR REALME 6 I 64 GB",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/12-celular-realme-6-i-64-gb.html,https://salvacerohomecenter.com//celular-realme-6-i-64-gb.jpg,,new,"In Stock",285.52,,,,REALME,2,,,,,,,,,,,
13,"CELULAR REALME 6 PRO",,,,,,,,,,"CELULAR REALME 6 PRO","CELULAR REALME 6 PRO",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/13-celular-realme-6-pro.html,https://salvacerohomecenter.com//celular-realme-6-pro.jpg,,new,"In Stock",432.91,,,,REALME,4,,,,,,,,,,,
14,"CELULAR REDMI 9 C (32GB)",,,,,,,,,,"CELULAR REDMI 9 C (32GB)","CELULAR REDMI 9 C (32GB)",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/14-celular-redmi-9-c-32gb.html,https://salvacerohomecenter.com//celular-redmi-9-c-32gb.jpg,,new,"In Stock",270.09,,,,REDMI,2,,,,,,,,,,,
15,"CELULAR SAMSUNG   M51   6RAM / 128 GB",,,,,,,,,,"CELULAR SAMSUNG   M51   6RAM / 128 GB","CELULAR SAMSUNG   M51   6RAM / 128 GB",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/15-celular-samsung-m51-6ram-128-gb.html,https://salvacerohomecenter.com//celular-samsung-m51-6ram-128-gb.jpg,,new,"In Stock",554.06,,,,SAMSUNG,1,,,,,,,,,,,
16,"CELULAR SAMSUNG A13 (128GB)",,,,,,,,,,"CELULAR SAMSUNG A13 (128GB)","CELULAR SAMSUNG A13 (128GB)",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/16-celular-samsung-a13-128gb.html,https://salvacerohomecenter.com//celular-samsung-a13-128gb.jpg,,new,"In Stock",317.93,,,,SAMSUNG,1,,,,,,,,,,,
17,"CELULAR SAMSUNG A13 64GB",,,,,,,,,,"CELULAR SAMSUNG A13 64GB","CELULAR SAMSUNG A13 64GB",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/17-celular-samsung-a13-64gb.html,https://salvacerohomecenter.com//celular-samsung-a13-64gb.jpg,,new,"In Stock",291.69,,,,SAMSUNG,6,,,,,,,,,,,
18,"CELULAR SAMSUNG A22 (128GB)",,,,,,,,,,"CELULAR SAMSUNG A22 (128GB)","CELULAR SAMSUNG A22 (128GB)",,,"Raíz > Todas las categorías > TECNOLOGÍA",https://salvacerohomecenter.com/tecnologia/18-celular-samsung-a22-128gb.html,https://salvacerohomecenter.com//celular-samsung-a22-128gb.jpg,,new,"In Stock",264.58,,,,SAMSUNG,4,,,,,,,,,,,
